 do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
 8787703947366 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 401, BL 23 GL A3B ;175.934,69;167.800,00;0.00;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703947366
 1444405293332 ;SP ;AMERICANA ;VILA GALO ;AVENIDA MARGINAL, N. 1221, Apto 11, . ;228.655,46;218.000,00;0.00;Apartamento, 0.00 de área total, 52.85 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405293332
 8444413104207 ;SP ;AMERICANA ;BARROCA ;AVENIDA COMENDADOR THOMAZ FORTUNATO, N. 2000, Apto 301, BL 08 ;183.456,00;172.600,00;0.00;Apartamento, 0.00 de área total, 50.01 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413104207
 8555526353182 ;SP ;AMERICANA ;VILA DAINESE ;RUA JOSE ZANETTI, N. 97, Apto 1202, BL 01 ;207.620,54;188.000,00;0.00;Apartamento, 0.00 de área total, 53.45 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555526353182
 8444410112594 ;SP ;AMERICANA ;JARDIM SANTA ELIZA ;AVENIDA ANTONIO CENTURIONE BOER, N. 1518, Apto 321, BL 3 ;197.036,00;173.212,11;0.00;Apartamento, 0.00 de área total, 50.16 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410112594
 1444414024420 ;SP ;AMERICANA ;VILA AMORIM ;AVENIDA PADRE OSWALDO VIEIRA DE ANDRADE, N. 1185, Apto 204, BL 18  SUB 02 ;190.094,21;166.000,00;0.00;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444414024420
 8787705862821 ;SP ;AMERICANA ;FAZENDA SAO DOMINGOS ;AVENIDA SAO JERONIMO, N. 2750, Apto 104, BL 27 ;175.990,64;142.000,00;0.00;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705862821
 10167291 ;SP ;AMERICO BRASILIENSE ;JARDIM SAO JOSE ;AVENIDA JULIO CORREIA ARRUDA, N. 512, LT 3, QD 41 ;593.474,21;572.188,06;0.00;Comercial, 0.00 de área total, 252.34 de área privativa, 312.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10167291
 10006530 ;SP ;AMERICO BRASILIENSE ;CENTRO ;RUA EMILIA GALLI, N. 433, CENTRO - NO LOCAL 435 ;380.000,00;255.000,00;0.00;Casa, 0.00 de área total, 88.20 de área privativa, 528.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10006530
 10006529 ;SP ;AMERICO BRASILIENSE ;CENTRO ;RUA EMILIA GALLI, N. 443 ;336.000,00;212.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 480.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10006529
